amenity_id,property_id,amenity_name
amenity_1,property_974,Car Parking
amenity_2,property_974,Commercial area
amenity_3,property_974,Lift / Elevator
amenity_4,property_974,On main road
amenity_5,property_974,Swimming Pool
amenity_1,property_975,Car Parking
amenity_2,property_975,Commercial area
amenity_6,property_975,Common Area
amenity_7,property_975,Garden
amenity_8,property_975,Gym/Fitness Center
amenity_3,property_975,Lift / Elevator
amenity_9,property_975,Non-Flooding
amenity_4,property_975,On main road
amenity_5,property_975,Swimming Pool
amenity_10,property_975,Backup Electricity / Generator
amenity_1,property_976,Car Parking
amenity_7,property_976,Garden
amenity_9,property_976,Non-Flooding
amenity_5,property_976,Swimming Pool
amenity_1,property_977,Car Parking
amenity_2,property_977,Commercial area
amenity_9,property_977,Non-Flooding
amenity_1,property_978,Car Parking
amenity_8,property_978,Gym/Fitness Center
amenity_3,property_978,Lift / Elevator
amenity_5,property_978,Swimming Pool
amenity_1,property_979,Car Parking
amenity_9,property_979,Non-Flooding
amenity_5,property_979,Swimming Pool
amenity_1,property_980,Car Parking
amenity_2,property_980,Commercial area
amenity_9,property_980,Non-Flooding
amenity_1,property_981,Car Parking
amenity_2,property_981,Commercial area
amenity_9,property_981,Non-Flooding
amenity_1,property_982,Car Parking
amenity_2,property_982,Commercial area
amenity_7,property_982,Garden
amenity_8,property_982,Gym/Fitness Center
amenity_3,property_982,Lift / Elevator
amenity_9,property_982,Non-Flooding
amenity_5,property_982,Swimming Pool
amenity_10,property_982,Backup Electricity / Generator
amenity_2,property_983,Commercial area
amenity_8,property_983,Gym/Fitness Center
amenity_3,property_983,Lift / Elevator
amenity_9,property_983,Non-Flooding
amenity_4,property_983,On main road
amenity_5,property_983,Swimming Pool
amenity_1,property_984,Car Parking
amenity_2,property_984,Commercial area
amenity_3,property_984,Lift / Elevator
amenity_9,property_984,Non-Flooding
amenity_5,property_984,Swimming Pool
amenity_1,property_985,Car Parking
amenity_9,property_985,Non-Flooding
amenity_1,property_986,Car Parking
amenity_2,property_986,Commercial area
amenity_6,property_986,Common Area
amenity_7,property_986,Garden
amenity_8,property_986,Gym/Fitness Center
amenity_3,property_986,Lift / Elevator
amenity_9,property_986,Non-Flooding
amenity_4,property_986,On main road
amenity_11,property_986,Playground
amenity_12,property_986,Sports Facilities
amenity_5,property_986,Swimming Pool
amenity_10,property_986,Backup Electricity / Generator
amenity_1,property_987,Car Parking
amenity_6,property_987,Common Area
amenity_7,property_987,Garden
amenity_8,property_987,Gym/Fitness Center
amenity_13,property_987,Jacuzzi
amenity_3,property_987,Lift / Elevator
amenity_9,property_987,Non-Flooding
amenity_11,property_987,Playground
amenity_14,property_987,Sauna
amenity_12,property_987,Sports Facilities
amenity_5,property_987,Swimming Pool
amenity_10,property_987,Backup Electricity / Generator
amenity_2,property_988,Commercial area
amenity_3,property_988,Lift / Elevator
amenity_9,property_988,Non-Flooding
amenity_4,property_988,On main road
amenity_3,property_989,Lift / Elevator
amenity_9,property_989,Non-Flooding
amenity_4,property_989,On main road
amenity_5,property_989,Swimming Pool
amenity_10,property_989,Backup Electricity / Generator
amenity_1,property_990,Car Parking
amenity_7,property_990,Garden
amenity_8,property_990,Gym/Fitness Center
amenity_3,property_990,Lift / Elevator
amenity_9,property_990,Non-Flooding
amenity_11,property_990,Playground
amenity_5,property_990,Swimming Pool
amenity_10,property_990,Backup Electricity / Generator
amenity_1,property_991,Car Parking
amenity_2,property_991,Commercial area
amenity_6,property_991,Common Area
amenity_7,property_991,Garden
amenity_8,property_991,Gym/Fitness Center
amenity_3,property_991,Lift / Elevator
amenity_9,property_991,Non-Flooding
amenity_11,property_991,Playground
amenity_12,property_991,Sports Facilities
amenity_5,property_991,Swimming Pool
amenity_10,property_991,Backup Electricity / Generator
No_amenities,property_992,No amenities
No_amenities,property_993,No amenities
amenity_1,property_994,Car Parking
No_amenities,property_995,No amenities
No_amenities,property_996,No amenities
No_amenities,property_997,No amenities
amenity_1,property_998,Car Parking
amenity_2,property_998,Commercial area
amenity_8,property_998,Gym/Fitness Center
amenity_3,property_998,Lift / Elevator
amenity_9,property_998,Non-Flooding
amenity_5,property_998,Swimming Pool
amenity_1,property_999,Car Parking
amenity_2,property_999,Commercial area
amenity_8,property_999,Gym/Fitness Center
amenity_3,property_999,Lift / Elevator
amenity_9,property_999,Non-Flooding
amenity_5,property_999,Swimming Pool
No_amenities,property_1000,No amenities
amenity_1,property_1001,Car Parking
amenity_2,property_1001,Commercial area
amenity_8,property_1001,Gym/Fitness Center
amenity_3,property_1001,Lift / Elevator
amenity_9,property_1001,Non-Flooding
amenity_5,property_1001,Swimming Pool
amenity_10,property_1001,Backup Electricity / Generator
