location_id,address,commune,district,city
location_1,"Tonle Bassac, Chamkarmon, Phnom Penh",Tonle Bassac,Chamkarmon,Phnom Penh
location_2,"306, BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh
location_3,"Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh
location_4,"Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh
location_5,"Toul Svay Prey 1, Chamkarmon, Phnom Penh",Toul Svay Prey 1,Chamkarmon,Phnom Penh
location_6,"Veal Sbov, Chbar Ampov, Phnom Penh",Veal Sbov,Chbar Ampov,Phnom Penh
location_7,"Chaom Chau, Por Sen Chey, Phnom Penh",Chaom Chau,Por Sen Chey,Phnom Penh
location_8,"BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh
location_9,"Chak Angrae Leu, Meanchey, Phnom Penh",Chak Angrae Leu,Meanchey,Phnom Penh
location_10,"BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh
location_11,"Spean Thma, Dangkao, Phnom Penh",Spean Thma,Dangkao,Phnom Penh
location_12,"Boeung Tumpun, Meanchey, Phnom Penh",Boeung Tumpun,Meanchey,Phnom Penh
location_13,"Boeung Kak 1, Toul Kork, Phnom Penh",Boeung Kak 1,Toul Kork,Phnom Penh
location_14,"Blvd. Samdach Hun Sen, Chak Angrae Leu, Meanchey, Phnom Penh",Chak Angrae Leu,Meanchey,Phnom Penh
location_15,"Ream, Prey Nob, Sihanoukville",Ream,Prey Nob,Sihanoukville
location_16,"Tuek Thla, Sen Sok, Phnom Penh",Tuek Thla,Sen Sok,Phnom Penh
location_17,"Phum 2, Sangkat Muoy, Sihanoukville, Sihanoukville",Sangkat Muoy,Sihanoukville,Sihanoukville
location_18,"Chrang Chamres I, Russey Keo, Phnom Penh",Chrang Chamres I,Russey Keo,Phnom Penh
location_19,"Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh
location_20,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",Toul Tum Poung 1,Chamkarmon,Phnom Penh
location_21,"Preaek Ta Sek, Chroy Changvar, Phnom Penh",Preaek Ta Sek,Chroy Changvar,Phnom Penh
location_22,"Preah Monivong BLVD (93) 456, BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh
location_23,"Veal Vong, 7 Makara, Phnom Penh",Veal Vong,7 Makara,Phnom Penh
location_24,"Tumnob Tuek, Chamkarmon, Phnom Penh",Tumnob Tuek,Chamkarmon,Phnom Penh
