property_id,property_name,property_types,floor_level,completion_year,facing
property_1,"1 Bed, 1 Bath Condo for Sale & Rent in Diamond Twin Tower",Condo,9.0,2018,
property_2,"1 Bed, 1 Bath Condo for Sale in Time Square 306",Condo,14.0,2025,W/N
property_3,"4 Bed, 4 Bath House for Sale in Preaek Lieb",House,,2025,E/S
property_4,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth : The Star Diamond",Twin Villa,,2025,S
property_5,"1 Bed, 1 Bath Condo for Sale in Golden One Residence",Condo,13.0,2021,
property_6,"5 Bed, 7 Bath Villa for Sale in Veal Sbov",Villa,,2021,E/S
property_7,"4 Bed, 5 Bath Flat for Sale in Chaom Chau",Flat,3.0,2021,
property_8,"4 Bed, 5 Bath Flat for Sale in Chaom Chau",Flat,2.0,2021,
property_9,"2 Bed, 1 Bath Apartment for Sale & Rent in Precious Ruby Apartment",Apartment,6.0,2017,
property_10,"1 Bed, 1 Bath Condo for Sale in Urban Village Phase 2",Condo,18.0,2024,
property_11,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,9.0,2024,
property_12,"3 Bed, 4 Bath Villa for Sale in Spean Thma",Villa,3.0,2024,S
property_13,"1 Bed, 1 Bath Condo for Sale in Urban Village Phase 2",Condo,30.0,2024,S/W
property_14,"2 Bed, 2 Bath Condo for Sale in PS Crystal Condominium",Condo,7.0,2024,E
property_15,1 Bath Condo for Sale in Boeung Kak 1,Condo,6.0,2024,S
property_16,"2 Bed, 1 Bath Condo for Sale in Urban Village Phase 1",Condo,9.0,2020,E/S
property_17,"3 Bed, 5 Bath Penthouse for Sale in Ream",Penthouse,17.0,2020,
property_18,"1 Bed, 1 Bath Condo for Sale in Tuek Thla",Condo,,2020,S
property_19,Land for Sale in Sangkat Muoy,Land/Development,,2020,
property_20,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Lieb",Twin Villa,,2020,S
property_21,"8 Bed, 9 Bath Villa for Sale in Chrang Chamres I",Villa,,2020,
property_22,"1 Bed, 1 Bath Serviced Apartment for Sale in Toul Svay Prey 1",ServicedApartment,8.0,2020,
property_23,"1 Bed, 1 Bath Apartment for Sale in Chroy Changvar",Apartment,9.0,2020,
property_24,"3 Bed, 4 Bath Flat for Sale in Toul Tum Poung 1",Flat,2.0,2020,
property_25,"1 Bed, 1 Bath Condo for Sale in Mekong View Tower 2",Condo,8.0,2020,
property_26,"1 Bed, 1 Bath Condo for Sale in Mekong View Tower 2",Condo,7.0,2020,
property_27,Land for Sale in Chroy Changvar,Land/Development,,2020,
property_28,"1 Bed, 1 Bath Condo for Sale in Chroy Changvar",Condo,12.0,2020,
property_29,"6 Bed, 4 Bath House for Sale in Toul Tum Poung 1",House,,2020,
property_30,"7 Bed, 8 Bath Villa for Sale & Rent in Preaek Lieb",Villa,,2020,S/W
property_31,"4 Bed, 5 Bath Link House for Sale in Phnom Penh Park",Unit,,2021,E/S
property_32,"4 Bed, 6 Bath Twin Villa for Sale & Rent in Preaek Ta Sek",Twin Villa,,2021,
