date_id,date,day_of_week,month,quarter,year
date_1,2024-12-03,Tuesday,December,Q4,2024
date_2,2024-11-25,Monday,November,Q4,2024
date_3,2024-11-06,Wednesday,November,Q4,2024
date_4,2024-11-04,Monday,November,Q4,2024
date_5,2024-09-23,Monday,September,Q3,2024
date_6,2024-09-18,Wednesday,September,Q3,2024
date_7,2024-03-18,Monday,March,Q1,2024
date_8,2024-03-15,Friday,March,Q1,2024
date_9,2024-02-26,Monday,February,Q1,2024
date_10,2024-02-06,Tuesday,February,Q1,2024
date_11,2024-01-17,Wednesday,January,Q1,2024
date_12,2023-09-11,Monday,September,Q3,2023
date_13,2020-07-28,Tuesday,July,Q3,2020
date_14,2023-06-09,Friday,June,Q2,2023
date_15,2023-06-05,Monday,June,Q2,2023
date_16,2023-05-22,Monday,May,Q2,2023
date_17,2022-11-22,Tuesday,November,Q4,2022
date_18,2021-10-31,Sunday,October,Q4,2021
date_19,2025-01-09,Thursday,January,Q1,2025
date_20,2025-01-08,Wednesday,January,Q1,2025
date_21,2025-01-06,Monday,January,Q1,2025
date_22,2025-01-03,Friday,January,Q1,2025
date_23,2025-01-02,Thursday,January,Q1,2025
date_24,2024-12-27,Friday,December,Q4,2024
date_25,2024-12-26,Thursday,December,Q4,2024
date_26,2024-12-25,Wednesday,December,Q4,2024
date_27,2024-12-24,Tuesday,December,Q4,2024
date_28,2024-12-23,Monday,December,Q4,2024
date_29,2024-12-21,Saturday,December,Q4,2024
date_30,2024-12-20,Friday,December,Q4,2024
date_31,2024-12-18,Wednesday,December,Q4,2024
date_32,2024-12-17,Tuesday,December,Q4,2024
date_33,2024-12-16,Monday,December,Q4,2024
date_34,2024-12-13,Friday,December,Q4,2024
date_35,2024-12-12,Thursday,December,Q4,2024
date_36,2024-12-11,Wednesday,December,Q4,2024
date_37,2024-12-10,Tuesday,December,Q4,2024
date_38,2024-12-09,Monday,December,Q4,2024
date_39,2024-12-06,Friday,December,Q4,2024
date_40,2024-12-05,Thursday,December,Q4,2024
date_41,2024-12-04,Wednesday,December,Q4,2024
date_42,2024-12-02,Monday,December,Q4,2024
date_43,2024-11-29,Friday,November,Q4,2024
date_44,2024-11-28,Thursday,November,Q4,2024
date_45,2024-11-27,Wednesday,November,Q4,2024
date_46,2024-11-26,Tuesday,November,Q4,2024
date_47,2024-11-24,Sunday,November,Q4,2024
date_48,2024-11-22,Friday,November,Q4,2024
date_49,2024-11-21,Thursday,November,Q4,2024
date_50,2024-11-20,Wednesday,November,Q4,2024
date_51,2024-11-19,Tuesday,November,Q4,2024
date_52,2024-11-18,Monday,November,Q4,2024
date_53,2024-11-17,Sunday,November,Q4,2024
date_54,2024-11-16,Saturday,November,Q4,2024
date_55,2024-11-12,Tuesday,November,Q4,2024
date_56,2024-11-11,Monday,November,Q4,2024
date_57,2024-11-08,Friday,November,Q4,2024
date_58,2024-11-07,Thursday,November,Q4,2024
date_59,2024-11-05,Tuesday,November,Q4,2024
date_60,2024-11-03,Sunday,November,Q4,2024
date_61,2024-10-31,Thursday,October,Q4,2024
date_62,2024-10-30,Wednesday,October,Q4,2024
date_63,2024-10-29,Tuesday,October,Q4,2024
date_64,2024-10-28,Monday,October,Q4,2024
date_65,2024-10-23,Wednesday,October,Q4,2024
date_66,2024-10-16,Wednesday,October,Q4,2024
date_67,2024-10-14,Monday,October,Q4,2024
date_68,2024-10-11,Friday,October,Q4,2024
date_69,2024-10-08,Tuesday,October,Q4,2024
date_70,2024-09-30,Monday,September,Q3,2024
date_71,2024-09-27,Friday,September,Q3,2024
date_72,2024-09-26,Thursday,September,Q3,2024
