property_id,price,listed_date,updated_date,land_area,floor_area,bedrooms,bathrooms,location_id
property_1,90000.0,date_1,date_36,51.0,,1.0,1.0,location_1
property_2,106000.0,date_2,date_46,,56.0,1.0,1.0,location_2
property_3,700000.0,date_3,date_41,660.0,,4.0,4.0,location_3
property_4,360000.0,date_4,date_290,200.0,216.0,4.0,5.0,location_4
property_5,70000.0,date_5,date_20,45.0,,1.0,1.0,location_5
property_6,2000000.0,date_6,date_20,835.0,645.0,5.0,7.0,location_6
property_7,65000.0,date_7,date_142,106.0,,4.0,5.0,location_7
property_8,78000.0,date_7,date_142,112.0,,4.0,5.0,location_7
property_9,125000.0,date_8,date_36,,68.0,2.0,1.0,location_8
property_10,85000.0,date_9,date_195,,44.0,1.0,1.0,location_9
property_11,213500.0,date_10,date_215,,61.0,1.0,1.0,location_10
property_12,162000.0,date_11,date_151,308.0,175.0,3.0,4.0,location_11
property_13,98000.0,date_12,date_153,,54.0,1.0,1.0,location_9
property_14,145000.0,date_13,date_206,,107.0,2.0,2.0,location_12
property_15,53000.0,date_14,date_135,,40.0,,1.0,location_13
property_16,90000.0,date_15,date_32,,70.0,2.0,1.0,location_14
property_17,1150000.0,date_16,date_206,,703.0,3.0,5.0,location_15
property_18,85000.0,date_17,date_239,,,1.0,1.0,location_16
property_19,236000.0,date_18,date_37,1029.0,,,,location_17
property_20,170000.0,date_19,date_19,,,4.0,5.0,location_3
property_21,425000.0,date_19,date_19,,,8.0,9.0,location_18
property_22,73000.0,date_20,date_20,,40.0,1.0,1.0,location_5
property_23,70000.0,date_20,date_20,,63.0,1.0,1.0,location_19
property_24,430000.0,date_20,date_20,,,3.0,4.0,location_20
property_25,70000.0,date_20,date_19,,63.0,1.0,1.0,location_19
property_26,70000.0,date_20,date_19,,63.0,1.0,1.0,location_19
property_27,1431000.0,date_20,date_20,954.0,,,,location_19
property_28,64000.0,date_20,date_19,,62.0,1.0,1.0,location_19
property_29,350000.0,date_20,date_20,92.0,196.0,6.0,4.0,location_20
property_30,850000.0,date_21,date_291,578.0,388.0,7.0,8.0,location_3
property_31,190000.0,date_21,date_291,107.0,201.0,4.0,5.0,location_3
property_32,300000.0,date_21,date_20,210.0,336.0,4.0,6.0,location_21
property_33,375000.0,date_21,date_21,144.0,198.0,4.0,5.0,location_4
property_34,99980.0,date_22,date_21,,56.0,1.0,1.0,location_22
property_35,180000.0,date_22,date_21,,65.0,2.0,2.0,location_10
property_36,180000.0,date_22,date_21,,77.0,2.0,2.0,location_23
property_37,70000.0,date_22,date_22,,77.0,1.0,1.0,location_23
property_38,166066.0,date_23,date_23,60.0,45.0,1.0,1.0,location_10
property_39,121358.0,date_23,date_23,39.0,29.0,1.0,1.0,location_10
property_40,380000.0,date_24,date_24,,,6.0,6.0,location_24
property_41,50000.0,date_24,date_24,,59.0,1.0,1.0,location_25
property_42,420000.0,date_24,date_24,,150.0,4.0,3.0,location_1
property_43,79800.0,date_24,date_24,84.0,,2.0,3.0,location_26
property_44,380000.0,date_25,date_25,,,2.0,3.0,location_8
property_45,838825.0,date_25,date_25,9425.0,,,,location_27
property_46,39000.0,date_26,date_26,,,4.0,5.0,location_28
property_47,79000.0,date_26,date_26,,47.0,1.0,1.0,location_19
property_48,360000.0,date_27,date_27,,,4.0,5.0,location_1
property_49,1050000.0,date_27,date_27,3000.0,,,,location_29
property_50,364000.0,date_27,date_24,,166.0,3.0,2.0,location_1
property_51,220000.0,date_27,date_27,,,4.0,5.0,location_28
property_52,350000.0,date_28,date_27,,,3.0,3.0,location_30
property_53,180000.0,date_28,date_27,,107.0,2.0,2.0,location_19
property_54,126750.0,date_28,date_27,,97.0,2.0,2.0,location_31
property_55,155000.0,date_28,date_19,,47.0,1.0,1.0,location_32
property_56,250000.0,date_29,date_27,92.0,192.0,4.0,4.0,location_33
property_57,170000.0,date_29,date_26,92.0,192.0,4.0,4.0,location_33
property_58,165000.0,date_29,date_26,,,5.0,4.0,location_33
property_59,160000.0,date_29,date_26,,,4.0,4.0,location_33
property_60,160000.0,date_29,date_26,92.0,128.0,4.0,4.0,location_33
property_61,150000.0,date_29,date_27,,,5.0,4.0,location_33
property_62,150000.0,date_29,date_27,,,4.0,5.0,location_33
property_63,270000.0,date_30,date_28,,,4.0,5.0,location_28
property_64,860000.0,date_30,date_30,,,10.0,12.0,location_19
property_65,245000.0,date_30,date_30,,,4.0,5.0,location_28
property_66,990000.0,date_31,date_30,,,4.0,6.0,location_34
property_67,230000.0,date_32,date_28,,148.0,3.0,3.0,location_19
property_68,92625.0,date_33,date_32,,71.0,1.0,1.0,location_31
property_69,350000.0,date_34,date_33,,,8.0,12.0,location_4
property_70,40000.0,date_34,date_33,,53.0,1.0,1.0,location_19
property_71,20000000.0,date_34,date_33,11817.0,,,,location_35
property_72,72000.0,date_34,date_33,,52.0,1.0,1.0,location_10
property_73,3500000.0,date_34,date_30,600.0,896.0,8.0,8.0,location_31
property_74,190000.0,date_34,date_34,,,4.0,5.0,location_3
property_75,210000.0,date_34,date_32,126.0,225.0,4.0,5.0,location_3
property_76,148000.0,date_34,date_34,,,4.0,5.0,location_6
property_77,305000.0,date_35,date_35,,,4.0,5.0,location_6
property_78,130000.0,date_35,date_35,,35.0,1.0,1.0,location_19
property_79,130000.0,date_35,date_35,,36.0,1.0,1.0,location_1
property_80,160000.0,date_35,date_35,,42.0,1.0,1.0,location_1
property_81,800000.0,date_36,date_36,800.0,,,,location_36
property_82,41000.0,date_37,date_32,,34.0,1.0,1.0,location_37
property_83,290000.0,date_37,date_37,187.0,270.0,5.0,6.0,location_38
property_84,255000.0,date_38,date_37,210.0,252.0,4.0,5.0,location_3
property_85,650000.0,date_38,date_37,,,5.0,8.0,location_3
property_86,1200000.0,date_38,date_37,,,6.0,9.0,location_3
property_87,700000.0,date_38,date_37,,,10.0,13.0,location_3
property_88,35670600.0,date_38,date_292,18774.0,,,,location_4
property_89,99000.0,date_38,date_37,,56.0,1.0,1.0,location_22
property_90,1200000.0,date_38,date_38,,,,,location_39
property_91,75000.0,date_39,date_38,,97.0,2.0,2.0,location_31
property_92,100000.0,date_39,date_38,,97.0,2.0,2.0,location_13
property_93,320000.0,date_39,date_38,,,3.0,2.0,location_40
property_94,185000.0,date_39,date_38,,132.0,2.0,2.0,location_1
property_95,380000.0,date_39,date_38,,,5.0,4.0,location_24
property_96,105000.0,date_40,date_32,,56.0,2.0,2.0,location_41
property_97,69000.0,date_40,date_40,,32.0,1.0,1.0,location_41
property_98,53000.0,date_40,date_38,37.0,,1.0,1.0,location_13
property_99,104000.0,date_40,date_38,,40.0,,,location_1
property_100,104000.0,date_40,date_40,,40.0,,,location_1
property_101,390000.0,date_40,date_38,,,5.0,4.0,location_24
property_102,135000.0,date_41,date_38,,,3.0,4.0,location_38
property_103,109000.0,date_41,date_38,,,3.0,4.0,location_38
property_104,1800000.0,date_41,date_38,,,7.0,8.0,location_38
property_105,125000.0,date_41,date_41,,146.0,2.0,2.0,location_37
property_106,542945.0,date_41,date_41,,214.0,3.0,3.0,location_42
property_107,79000.0,date_1,date_1,,32.0,1.0,1.0,location_41
property_108,62000.0,date_1,date_1,,,2.0,3.0,location_43
property_109,95500.0,date_1,date_1,,56.0,2.0,2.0,location_41
