property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
247210,"1 Bed, 1 Bath Condo for Sale & Rent in Diamond Twin Tower",Condo,3/12/2024,11/12/2024,1.0,1.0,51.0,,9.0,2018,,90000.0,"Tonle Bassac, Chamkarmon, Phnom Penh",Tonle Bassac,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Lift / Elevator, On main road, Swimming Pool"
247030,"1 Bed, 1 Bath Condo for Sale in Time Square 306",Condo,25/11/2024,26/11/2024,1.0,1.0,,56.0,14.0,2025,W/N,106000.0,"306, BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Common Area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Swimming Pool, Backup Electricity / Generator"
246719,"4 Bed, 4 Bath House for Sale in Preaek Lieb",House,6/11/2024,4/12/2024,4.0,4.0,660.0,,,2025,E/S,700000.0,"Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh,"Car Parking, Garden, Non-Flooding, Swimming Pool"
246673,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth : The Star Diamond",Twin Villa,4/11/2024,19/12/2024,4.0,5.0,200.0,216.0,,2025,S,360000.0,"Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245970,"1 Bed, 1 Bath Condo for Sale in Golden One Residence",Condo,23/09/2024,8/1/2025,1.0,1.0,45.0,,13.0,2021,,70000.0,"Toul Svay Prey 1, Chamkarmon, Phnom Penh",Toul Svay Prey 1,Chamkarmon,Phnom Penh,"Car Parking, Gym/Fitness Center, Lift / Elevator, Swimming Pool"
245872,"5 Bed, 7 Bath Villa for Sale in Veal Sbov",Villa,18/09/2024,8/1/2025,5.0,7.0,835.0,645.0,,2021,E/S,2000000.0,"Veal Sbov, Chbar Ampov, Phnom Penh",Veal Sbov,Chbar Ampov,Phnom Penh,"Car Parking, Non-Flooding, Swimming Pool"
241393,"4 Bed, 5 Bath Flat for Sale in Chaom Chau",Flat,18/03/2024,27/06/2024,4.0,5.0,106.0,,3.0,2021,,65000.0,"Chaom Chau, Por Sen Chey, Phnom Penh",Chaom Chau,Por Sen Chey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
241392,"4 Bed, 5 Bath Flat for Sale in Chaom Chau",Flat,18/03/2024,27/06/2024,4.0,5.0,112.0,,2.0,2021,,78000.0,"Chaom Chau, Por Sen Chey, Phnom Penh",Chaom Chau,Por Sen Chey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
241351,"2 Bed, 1 Bath Apartment for Sale & Rent in Precious Ruby Apartment",Apartment,15/03/2024,11/12/2024,2.0,1.0,,68.0,6.0,2017,,125000.0,"BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool, Backup Electricity / Generator"
240720,"1 Bed, 1 Bath Condo for Sale in Urban Village Phase 2",Condo,26/02/2024,4/4/2024,1.0,1.0,,44.0,18.0,2024,,85000.0,"Chak Angrae Leu, Meanchey, Phnom Penh",Chak Angrae Leu,Meanchey,Phnom Penh,"Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Swimming Pool"
